Entity,Day,Data
Africa,2022-02-15,180897650
Africa,2022-02-16,181636460
Africa,2022-02-17,182330670
Africa,2022-02-18,182989500
Africa,2022-02-19,183624640
Africa,2022-02-20,184219440
Africa,2022-02-21,184788700
Africa,2022-02-22,185402220
Africa,2022-02-23,185992210
Africa,2022-02-24,186558480
Africa,2022-02-25,187070500
Africa,2022-02-26,187532560
Africa,2022-02-27,188057980
Africa,2022-02-28,188633800
Africa,2022-03-01,189178050
Africa,2022-03-02,189730720
Africa,2022-03-03,190276590
Africa,2022-03-04,190816340
Africa,2022-03-05,191319140
Africa,2022-03-06,191822780
Africa,2022-03-07,192708800
Africa,2022-03-08,193593260
Africa,2022-03-09,194379920
Africa,2022-03-10,196198980
Africa,2022-03-11,197991700
Africa,2022-03-12,199704210
Africa,2022-03-13,201416110
Africa,2022-03-14,202885970
Africa,2022-03-15,203386990
Africa,2022-03-16,203894100
Africa,2022-03-17,204389000
Africa,2022-03-18,204863550
Africa,2022-03-19,205324620
Africa,2022-03-20,205763900
Africa,2022-03-21,206170180
Africa,2022-03-22,206571740
Africa,2022-03-23,206996940
Africa,2022-03-24,207415630
Africa,2022-03-25,207823410
Africa,2022-03-26,208243730
Africa,2022-03-27,208632980
Africa,2022-03-28,209361760
Africa,2022-03-29,210087780
Africa,2022-03-30,210979700
Africa,2022-03-31,211887420
Africa,2022-04-01,212921220
Africa,2022-04-02,213921500
Africa,2022-04-03,214916800
Africa,2022-04-04,215911980
Africa,2022-04-05,216902450
Africa,2022-04-06,217896320
Africa,2022-04-07,218905490
Africa,2022-04-08,219639650
Africa,2022-04-09,220385810
Africa,2022-04-10,220966560
Africa,2022-04-11,221276050
Africa,2022-04-12,221598800
Africa,2022-04-13,221911520
Africa,2022-04-14,222227870
Africa,2022-04-15,222533630
Africa,2022-04-16,222822800
Africa,2022-04-17,223112510
Africa,2022-04-18,223401740
Africa,2022-04-19,223692050
Africa,2022-04-20,223994160
Africa,2022-04-21,224318510
Africa,2022-04-22,224636860
Africa,2022-04-23,224952400
Africa,2022-04-24,225219940
Africa,2022-04-25,225479310
Africa,2022-04-26,225763280
Africa,2022-04-27,226062030
Africa,2022-04-28,226350240
Africa,2022-04-29,226656820
Africa,2022-04-30,226952260
Africa,2022-05-01,227199250
Africa,2022-05-02,227549150
Africa,2022-05-03,227902540
Africa,2022-05-04,228298530
Africa,2022-05-05,228706860
Africa,2022-05-06,229115380
Africa,2022-05-07,229540210
Africa,2022-05-08,229940670
Africa,2022-05-09,230255440
Africa,2022-05-10,230657310
Africa,2022-05-11,231030450
Africa,2022-05-12,231430450
Africa,2022-05-13,231816300
Africa,2022-05-14,232250260
Africa,2022-05-15,232694540
Africa,2022-05-16,233009070
Africa,2022-05-17,233322000
Africa,2022-05-18,233664080
Africa,2022-05-19,233976400
Africa,2022-05-20,234279100
Africa,2022-05-21,234616060
Africa,2022-05-22,234931490
Africa,2022-05-23,235153150
Africa,2022-05-24,235423550
Africa,2022-05-25,235694900
Africa,2022-05-26,235968820
Africa,2022-05-27,236334370
Africa,2022-05-28,236570700
Africa,2022-05-29,236798130
Africa,2022-05-30,237950350
Africa,2022-05-31,238224380
Africa,2022-06-01,238610720
Africa,2022-06-02,238995220
Africa,2022-06-03,239402030
Africa,2022-06-04,239684000
Africa,2022-06-05,239953980
Africa,2022-06-06,240828290
Africa,2022-06-07,241714000
Africa,2022-06-08,242661800
Africa,2022-06-09,243554700
Africa,2022-06-10,244447760
Africa,2022-06-11,245345300
Africa,2022-06-12,246224110
Africa,2022-06-13,247099600
Africa,2022-06-14,247987340
Africa,2022-06-15,248879340
Africa,2022-06-16,249767970
Africa,2022-06-17,250648260
Africa,2022-06-18,251520290
Africa,2022-06-19,252383780
Africa,2022-06-20,253576430
Africa,2022-06-21,254781580
Africa,2022-06-22,255989460
Africa,2022-06-23,257245260
Africa,2022-06-24,258452050
Africa,2022-06-25,259654820
Africa,2022-06-26,260850610
Africa,2022-06-27,261863060
Africa,2022-06-28,263953000
Africa,2022-06-29,266041400
Africa,2022-06-30,267145570
Africa,2022-07-01,268192590
Africa,2022-07-02,269238720
Africa,2022-07-03,270282980
Africa,2022-07-04,271230530
Africa,2022-07-05,272175650
Africa,2022-07-06,273103040
Africa,2022-07-07,274030180
Africa,2022-07-08,274989730
Africa,2022-07-09,275917540
Africa,2022-07-10,276838140
Africa,2022-07-11,277677900
Africa,2022-07-12,278527260
Africa,2022-07-13,279376860
Africa,2022-07-14,280243680
Africa,2022-07-15,281109340
Africa,2022-07-16,281974800
Africa,2022-07-17,282968960
Africa,2022-07-18,283991330
Africa,2022-07-19,285015940
Africa,2022-07-20,285941500
Africa,2022-07-21,286871940
Africa,2022-07-22,287804960
Africa,2022-07-23,288725860
Africa,2022-07-24,289644130
Africa,2022-07-25,290525150
Africa,2022-07-26,291423460
Africa,2022-07-27,292329540
Africa,2022-07-28,293189200
Africa,2022-07-29,294048030
Africa,2022-07-30,294905380
Africa,2022-07-31,295759550
Africa,2022-08-01,296352300
Africa,2022-08-02,296947100
Africa,2022-08-03,297544540
Africa,2022-08-04,298141220
Africa,2022-08-05,298737700
Africa,2022-08-06,299332500
Africa,2022-08-07,299924540
Africa,2022-08-08,300387970
Africa,2022-08-09,300851100
Africa,2022-08-10,301312500
Africa,2022-08-11,301779800
Africa,2022-08-12,302246180
Africa,2022-08-13,302680770
Africa,2022-08-14,303111650
Africa,2022-08-15,303495170
Africa,2022-08-16,303943000
Africa,2022-08-17,304392320
Africa,2022-08-18,304840580
Africa,2022-08-19,305289100
Africa,2022-08-20,305738980
Africa,2022-08-21,306183800
Africa,2022-08-22,306760640
Africa,2022-08-23,307340300
Africa,2022-08-24,307919840
Africa,2022-08-25,308499600
Africa,2022-08-26,309079170
Africa,2022-08-27,309657730
Africa,2022-08-28,310232220
Africa,2022-08-29,310720540
Africa,2022-08-30,311226200
Africa,2022-08-31,311729380
Africa,2022-09-01,312232930
Africa,2022-09-02,312736450
Africa,2022-09-03,313239100
Africa,2022-09-04,313738850
Africa,2022-09-05,314152770
Africa,2022-09-06,314570300
Africa,2022-09-07,314988100
Africa,2022-09-08,315406000
Africa,2022-09-09,315823550
Africa,2022-09-10,316241000
Africa,2022-09-11,316654940
Africa,2022-09-12,317105950
Africa,2022-09-13,317588930
Africa,2022-09-14,318074900
Africa,2022-09-15,318561060
Africa,2022-09-16,319047170
Africa,2022-09-17,319531140
Africa,2022-09-18,320015100
Africa,2022-09-19,320773000
Africa,2022-09-20,321540160
Africa,2022-09-21,322307520
Africa,2022-09-22,323074700
Africa,2022-09-23,323844130
Africa,2022-09-24,324613440
